103,260,956,-328 
274,256,1044,-256 
442,236,1032,-276 
610,272,1032,-224 
777,816,-32,28 
944,2040,-156,-116 
1112,2040,-28,-28 
1279,720,120,12 
1446,488,164,-76 
1613,1760,-24,-32 
1779,2040,-208,36 
1948,1096,-184,68 
2115,360,-136,16 
2282,1320,-132,40 
2450,2040,-48,-12 
2617,1628,4,-16 
2784,508,104,-28 
2951,920,104,4 
3117,2040,-120,12 
3285,1840,-144,32 
3451,648,-128,40 
3620,752,-88,-40 
3787,1864,-124,24 
3961,1920,12,-8 
4128,812,80,-52 
4295,704,72,-56 
4462,1680,-32,-16 
4628,1976,-164,24 
4797,1012,-132,-8 
4964,632,-104,36 
5131,1536,-104,24 
5299,1936,-60,0 
5466,1104,56,-44 
5631,652,104,-32 
5799,1336,4,-12 
5967,1856,-140,0 
6135,1128,-144,4 
6302,664,-108,28 
6356,1048,-104,20 
6523,1772,-84,-8 
6690,1464,16,-28 
6858,768,64,-28 
7024,960,44,-36 
7192,1692,-92,8 
7359,1416,-132,-4 
7526,796,-108,-4 
7696,976,-132,16 
7864,1596,-52,-12 
8033,1464,-12,-24 
8202,828,80,-48 
8370,1028,64,-40 
8537,1544,-96,-8 
8705,1388,-116,8 
8873,860,-104,-12 
9040,1032,-56,-16 
9207,1524,-44,-8 
9374,1320,-12,-24 
9542,880,60,-44 
9707,1024,68,-40 
9874,1444,-72,-4 
10043,1304,-128,12 
10208,920,-84,-4 
10378,1016,-116,-8 
10545,1436,-20,-16 
10712,1268,-4,-28 
10880,896,32,-44 
11046,1044,68,-24 
11212,1364,-56,-16 
11380,1228,-64,8 
11554,904,-108,8 
11721,1036,-84,-8 
11890,1356,-56,8 
12056,1172,20,-40 
12224,932,64,-80 
12391,1060,-32,-12 
12556,1320,-40,0 
12724,1144,-92,-8 
12892,916,-112,0 
13060,1080,-76,20 
13226,1272,-56,-12 
13394,1116,24,-40 
13561,948,40,-16 
13729,1088,-12,-20 
13896,1248,-52,8 
14063,1100,-120,-24 
14230,852,864,-368 
14398,1028,196,60 
14565,972,548,-320 
14732,976,1492,-456 
14899,948,916,-316 
15065,988,404,-224 
15232,724,924,196 
15400,840,600,-144 
15566,820,228,-592 
15736,828,644,-80 
